Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
LAC,,0,0,0,0,0,0,0,0,0,0,0,15564541.4528532,16609309.0922442,18331907.4590054,19516532.2001093,20220028.4601234,21476135.7198807,22618953.7144512,24333331.0902872,25842985.7408918,27545933.9342222,27810008.2036931,28325424.2322997,27755168.1788638,28210831.6392833,28717425.1410435,29384829.2457769,30453758.5780087,31091687.4225961,31826764.3184808,32243127.4320392,33028432.5773563,34326045.8156864,34331058.615031,36644866.5364883,36851494.1254707,39019429.5860015,40770300.1410658,42690102.0340415,42893120.4074958,43587493.3727029,43666695.6023467,43875228.05508,43969869.706705,46311147.7685705,48111745.2931328,49269401.1737631,51801666.8906558
LCN,,0,0,0,0,0,0,0,0,0,0,0,16820806.9693261,17885677.0571061,19718275.3230764,20895307.4696233,21403796.0684597,22760864.2836245,23966323.1778479,25738360.1118119,27305127.088822,29094055.2786517,29355280.1985428,29940265.9993403,29396758.9432213,29782373.9551807,30205788.3019128,30904303.5292387,31943321.7559071,32635760.2509399,33383095.3275364,33884374.243991,34687429.865852,36087344.1934566,36045528.0356426,38426268.1535488,38639571.7565852,40963870.3609887,42830045.1477654,44953502.6001069,45229221.4534764,45988195.0173462,46111892.567924,46387611.4212935,46512235.9310345,49058798.7437203,50930535.2854772,52275553.0315182,55013996.3910203
LDC,,0,0,0,0,0,0,0,0,0,0,0,1367061.72328424,1396845.20309435,1503794.9715034,1512459.25653907,1400365.0688901,1485518.74525628,1504065.73041077,1548064.05285752,1598289.83017367,1763858.90202717,1738678.32364226,1804337.35867819,1843597.40024606,1919951.41212289,2014852.40915422,2134798.60511677,2175953.9590362,2348562.76248118,2359528.49822945,2530377.36877655,2556911.74169828,2586435.69128259,2635309.83298568,2774144.62013131,3146211.29030509,3283888.21225423,3469849.93147462,3588212.93451527,3935602.47596421,4020296.62036704,4354244.71825127,4568263.81966983,5002174.49785078,5460488.57357152,5905883.20353592,6029205.18575576,6396952.64172987
LIC,,0,0,0,0,0,0,0,0,0,0,0,4168415.14896416,4290884.99372429,4450453.89087376,4599709.53793815,4625062.94439725,4952508.63459801,5142730.80283362,5394116.27365703,5704229.9741315,6074934.0188557,6193393.15524942,6402379.70905646,6513390.38705539,6769932.48292136,7082481.25633255,7177878.81961941,7155819.9236041,7279005.96628681,7334582.92507855,8062578.21378008,7757929.63966697,6951074.41522723,6550934.82625707,6042849.99834901,6082604.39971412,5890191.06705139,5954243.95012841,6045929.98554677,6284823.04449799,6415093.61982161,6657170.22166929,6679200.33851288,6964318.44032084,7335264.85861771,7941411.42610585,8175338.15813857,7991074.69529082
LMC,,0,0,0,0,0,0,0,0,0,0,0,43518024.7846365,46198083.6313244,48562783.8269496,50390174.5817688,56748030.2433758,59847995.9895766,66769114.5213463,73237027.4140501,76003760.9210459,76606688.466265,77773980.6781764,81689765.5434314,85935599.6801407,92070525.1773119,96335758.3753497,100792406.796954,107825806.973668,115479977.289782,120217761.430628,139670194.008462,140626705.399523,141680468.659204,145920086.352116,149288162.195495,159783511.37117,165136391.137796,167588426.864633,167552083.257416,172507599.540143,174454851.758425,175951684.86676,188341431.984294,208349040.794154,234835979.844757,250641421.991858,269185621.731045,285894620.31797
LMY,,0,0,0,0,0,0,0,0,0,0,0,106813384.488581,112873671.396544,121216301.643902,126865558.63436,137914490.582513,146238989.475627,158861722.972126,171967696.475204,179700167.236277,185115766.252917,189027118.668087,198225025.102196,203182750.72638,214197449.740933,221979386.979761,230943994.224939,243354953.65685,254769460.940524,263097358.553395,312078751.118894,312195778.207639,303302370.207299,303035758.867395,298990177.520773,308402471.65544,315332080.447444,316920278.216491,318380598.019052,324162848.840964,330788608.244666,333650523.209595,347079835.927647,373783347.31414,405733297.805487,427055809.661584,452710073.726858,475319566.447573
MEA,,0,0,0,0,0,0,0,0,0,0,0,6403471.65997811,6809363.77966105,8015866.02529598,8434945.61216108,8991134.59064526,10125256.7683109,11183173.5058476,12413030.6551944,14812646.3439053,16621644.7046946,18783785.3164382,21309638.2864196,21852136.4592795,22762877.0363557,24092495.8649203,25284300.6280468,26538720.6933666,28270607.6048312,29997863.8026288,29428990.6954045,31852363.9585809,34103696.1422588,36278218.8796772,38527235.7065217,39864505.2794056,41223015.7345448,41789573.4849357,44802658.0668379,46330692.9092654,48181166.357681,49980500.6203825,53194417.2406696,55916068.864615,59338266.9322295,62306957.0635415,65565368.8021073,69302153.3960138
MIC,,0,0,0,0,0,0,0,0,0,0,0,103164743.431072,109144687.957488,117386742.249809,122922125.006094,134044443.136246,142081718.975397,154609164.160674,167556349.485393,175015408.619944,180068997.160068,183882480.533923,192932623.566534,197812518.453881,208643299.075996,216140570.489289,225080706.477871,237628655.781917,249010099.953243,257351897.888451,303417895.432432,303766924.312232,295599389.777303,295643834.840576,292021763.29262,301482629.057938,308516613.370495,310043331.460293,311421228.976233,316975152.459984,323452567.937198,326103685.795165,339423428.81887,365718515.903128,397156258.804189,417853781.776953,443147246.066473,465747057.969147
MKD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242900,234800,241600,247100,221000,222000,258100,230200,262200,240400,233600,231800,223700,238800,234900,247100,244100,256900
MNA,,0,0,0,0,0,0,0,0,0,0,0,4139390.79399593,4352859.63416896,5016163.1446639,5659811.71686098,6152502.25780138,6994625.18116077,7627331.82894461,8011920.20924686,9270444.14499881,9750267.7933421,10803022.7616563,12499730.2445124,12445223.250676,13714182.5402665,14615675.5349793,14964702.6609384,15584542.4161253,15980275.3490706,17212761.5572836,18030265.1507133,19164274.0392072,19885630.5375612,21103020.9426486,22326692.8228621,23312681.7894326,23628984.4562671,23919046.7673327,25827703.3786377,26941044.1876844,27899273.086762,29018388.8003602,30537593.953846,32364591.3885115,34203746.5169695,35675536.6646646,37801309.4242804,39775212.3256051
